"country","continent","year","lifeExp","pop","gdpPercap"
"Bosnia and Herzegovina","Europe",1972,67.45,3819000,2860.16975
"Bosnia and Herzegovina","Europe",1977,69.86,4086000,3528.481305
"Bosnia and Herzegovina","Europe",1982,70.69,4172693,4126.613157
"Bosnia and Herzegovina","Europe",1987,71.14,4338977,4314.114757
"Bosnia and Herzegovina","Europe",1992,72.178,4256013,2546.781445
"Bosnia and Herzegovina","Europe",1997,73.244,3607000,4766.355904
"Bosnia and Herzegovina","Europe",2002,74.09,4165416,6018.975239
"Bosnia and Herzegovina","Europe",2007,74.852,4552198,7446.298803
"Brazil","Americas",1952,50.917,56602560,2108.944355
"Brazil","Americas",1957,53.285,65551171,2487.365989
"Brazil","Americas",1962,55.665,76039390,3336.585802
"Brazil","Americas",1967,57.632,88049823,3429.864357
"Brazil","Americas",1972,59.504,100840058,4985.711467
"Brazil","Americas",1977,61.489,114313951,6660.118654
"Brazil","Americas",1982,63.336,128962939,7030.835878
"Brazil","Americas",1987,65.205,142938076,7807.095818
"Brazil","Americas",1992,67.057,155975974,6950.283021
"Brazil","Americas",1997,69.388,168546719,7957.980824
"Brazil","Americas",2002,71.006,179914212,8131.212843
"Brazil","Americas",2007,72.39,190010647,9065.800825
"Bulgaria","Europe",1952,59.6,7274900,2444.286648
"Bulgaria","Europe",1957,66.61,7651254,3008.670727
"Bulgaria","Europe",1962,69.51,8012946,4254.337839
"Bulgaria","Europe",1967,70.42,8310226,5577.0028
"Bulgaria","Europe",1972,70.9,8576200,6597.494398
"Bulgaria","Europe",1977,70.81,8797022,7612.240438
"Bulgaria","Europe",1982,71.08,8892098,8224.191647
"Bulgaria","Europe",1987,71.34,8971958,8239.854824
"Bulgaria","Europe",1992,71.19,8658506,6302.623438
"Bulgaria","Europe",1997,70.32,8066057,5970.38876
"Bulgaria","Europe",2002,72.14,7661799,7696.777725
"Bulgaria","Europe",2007,73.005,7322858,10680.79282
"Canada","Americas",1952,68.75,14785584,11367.16112
"Canada","Americas",1957,69.96,17010154,12489.95006
"Canada","Americas",1962,71.3,18985849,13462.48555
"Canada","Americas",1967,72.13,20819767,16076.58803
"Canada","Americas",1972,72.88,22284500,18970.57086
"Canada","Americas",1977,74.21,23796400,22090.88306
"Canada","Americas",1982,75.76,25201900,22898.79214
"Canada","Americas",1987,76.86,26549700,26626.51503
"Canada","Americas",1992,77.95,28523502,26342.88426
"Canada","Americas",1997,78.61,30305843,28954.92589
"Canada","Americas",2002,79.77,31902268,33328.96507
"Canada","Americas",2007,80.653,33390141,36319.23501
"Chile","Americas",1952,54.745,6377619,3939.978789
"Chile","Americas",1957,56.074,7048426,4315.622723
"Chile","Americas",1962,57.924,7961258,4519.094331
"Chile","Americas",1967,60.523,8858908,5106.654313
"Chile","Americas",1972,63.441,9717524,5494.024437
"Chile","Americas",1977,67.052,10599793,4756.763836
"Chile","Americas",1982,70.565,11487112,5095.665738
"Chile","Americas",1987,72.492,12463354,5547.063754
"Chile","Americas",1992,74.126,13572994,7596.125964
"Chile","Americas",1997,75.816,14599929,10118.05318
"Chile","Americas",2002,77.86,15497046,10778.78385
"Chile","Americas",2007,78.553,16284741,13171.63885
"Colombia","Americas",1952,50.643,12350771,2144.115096
"Colombia","Americas",1957,55.118,14485993,2323.805581
"Colombia","Americas",1962,57.863,17009885,2492.351109
"Colombia","Americas",1967,59.963,19764027,2678.729839
"Colombia","Americas",1972,61.623,22542890,3264.660041
"Colombia","Americas",1977,63.837,25094412,3815.80787
"Colombia","Americas",1982,66.653,27764644,4397.575659
"Colombia","Americas",1987,67.768,30964245,4903.2191
"Colombia","Americas",1992,68.421,34202721,5444.648617
"Colombia","Americas",1997,70.313,37657830,6117.361746
"Colombia","Americas",2002,71.682,41008227,5755.259962
"Colombia","Americas",2007,72.889,44227550,7006.580419
"Costa Rica","Americas",1952,57.206,926317,2627.009471
"Costa Rica","Americas",1957,60.026,1112300,2990.010802
"Costa Rica","Americas",1962,62.842,1345187,3460.937025
"Costa Rica","Americas",1967,65.424,1588717,4161.727834
"Costa Rica","Americas",1972,67.849,1834796,5118.146939
"Costa Rica","Americas",1977,70.75,2108457,5926.876967
"Costa Rica","Americas",1982,73.45,2424367,5262.734751
"Costa Rica","Americas",1987,74.752,2799811,5629.915318
"Costa Rica","Americas",1992,75.713,3173216,6160.416317
"Costa Rica","Americas",1997,77.26,3518107,6677.045314
"Costa Rica","Americas",2002,78.123,3834934,7723.447195
"Costa Rica","Americas",2007,78.782,4133884,9645.06142
"Croatia","Europe",1952,61.21,3882229,3119.23652
"Croatia","Europe",1957,64.77,3991242,4338.231617
"Croatia","Europe",1962,67.13,4076557,5477.890018
"Croatia","Europe",1967,68.5,4174366,6960.297861
"Croatia","Europe",1972,69.61,4225310,9164.090127
"Croatia","Europe",1977,70.64,4318673,11305.38517
"Croatia","Europe",1982,70.46,4413368,13221.82184
"Croatia","Europe",1987,71.52,4484310,13822.58394
"Croatia","Europe",1992,72.527,4494013,8447.794873
"Croatia","Europe",1997,73.68,4444595,9875.604515
"Croatia","Europe",2002,74.876,4481020,11628.38895
"Croatia","Europe",2007,75.748,4493312,14619.22272
"Cuba","Americas",1952,59.421,6007797,5586.53878
"Cuba","Americas",1957,62.325,6640752,6092.174359
"Cuba","Americas",1962,65.246,7254373,5180.75591
"Cuba","Americas",1967,68.29,8139332,5690.268015
"Cuba","Americas",1972,70.723,8831348,5305.445256
"Cuba","Americas",1977,72.649,9537988,6380.494966
"Cuba","Americas",1982,73.717,9789224,7316.918107
"Cuba","Americas",1987,74.174,10239839,7532.924763
"Cuba","Americas",1992,74.414,10723260,5592.843963
"Cuba","Americas",1997,76.151,10983007,5431.990415
"Cuba","Americas",2002,77.158,11226999,6340.646683
"Cuba","Americas",2007,78.273,11416987,8948.102923
"Czech Republic","Europe",1952,66.87,9125183,6876.14025
"Czech Republic","Europe",1957,69.03,9513758,8256.343918
"Czech Republic","Europe",1962,69.9,9620282,10136.86713
"Czech Republic","Europe",1967,70.38,9835109,11399.44489
"Czech Republic","Europe",1972,70.29,9862158,13108.4536
"Czech Republic","Europe",1977,70.71,10161915,14800.16062
"Czech Republic","Europe",1982,70.96,10303704,15377.22855
"Czech Republic","Europe",1987,71.58,10311597,16310.4434
"Czech Republic","Europe",1992,72.4,10315702,14297.02122
"Czech Republic","Europe",1997,74.01,10300707,16048.51424
"Czech Republic","Europe",2002,75.51,10256295,17596.21022
"Czech Republic","Europe",2007,76.486,10228744,22833.30851
"Denmark","Europe",1952,70.78,4334000,9692.385245
"Denmark","Europe",1957,71.81,4487831,11099.65935
"Denmark","Europe",1962,72.35,4646899,13583.31351
"Denmark","Europe",1967,72.96,4838800,15937.21123
"Denmark","Europe",1972,73.47,4991596,18866.20721
"Denmark","Europe",1977,74.69,5088419,20422.9015
"Denmark","Europe",1982,74.63,5117810,21688.04048
"Denmark","Europe",1987,74.8,5127024,25116.17581
"Denmark","Europe",1992,75.33,5171393,26406.73985
"Denmark","Europe",1997,76.11,5283663,29804.34567
"Denmark","Europe",2002,77.18,5374693,32166.50006
"Denmark","Europe",2007,78.332,5468120,35278.41874
"Dominican Republic","Americas",1952,45.928,2491346,1397.717137
"Dominican Republic","Americas",1957,49.828,2923186,1544.402995
"Dominican Republic","Americas",1962,53.459,3453434,1662.137359
"Dominican Republic","Americas",1967,56.751,4049146,1653.723003
"Dominican Republic","Americas",1972,59.631,4671329,2189.874499
"Dominican Republic","Americas",1977,61.788,5302800,2681.9889
"Dominican Republic","Americas",1982,63.727,5968349,2861.092386
"Dominican Republic","Americas",1987,66.046,6655297,2899.842175
"Dominican Republic","Americas",1992,68.457,7351181,3044.214214
"Dominican Republic","Americas",1997,69.957,7992357,3614.101285
"Dominican Republic","Americas",2002,70.847,8650322,4563.808154
"Dominican Republic","Americas",2007,72.235,9319622,6025.374752
"Ecuador","Americas",1952,48.357,3548753,3522.110717
"Ecuador","Americas",1957,51.356,4058385,3780.546651
"Ecuador","Americas",1962,54.64,4681707,4086.114078
"Ecuador","Americas",1967,56.678,5432424,4579.074215
"Ecuador","Americas",1972,58.796,6298651,5280.99471
"Ecuador","Americas",1977,61.31,7278866,6679.62326
"Ecuador","Americas",1982,64.342,8365850,7213.791267
"Ecuador","Americas",1987,67.231,9545158,6481.776993
"Ecuador","Americas",1992,69.613,10748394,7103.702595
"Ecuador","Americas",1997,72.312,11911819,7429.455877
"Ecuador","Americas",2002,74.173,12921234,5773.044512
"Ecuador","Americas",2007,74.994,13755680,6873.262326
"El Salvador","Americas",1952,45.262,2042865,3048.3029
"El Salvador","Americas",1957,48.57,2355805,3421.523218
"El Salvador","Americas",1962,52.307,2747687,3776.803627
"El Salvador","Americas",1967,55.855,3232927,4358.595393
"El Salvador","Americas",1972,58.207,3790903,4520.246008
"El Salvador","Americas",1977,56.696,4282586,5138.922374
"El Salvador","Americas",1982,56.604,4474873,4098.344175
"El Salvador","Americas",1987,63.154,4842194,4140.442097
"El Salvador","Americas",1992,66.798,5274649,4444.2317
"El Salvador","Americas",1997,69.535,5783439,5154.825496
"El Salvador","Americas",2002,70.734,6353681,5351.568666
"El Salvador","Americas",2007,71.878,6939688,5728.353514
"Finland","Europe",1952,66.55,4090500,6424.519071
"Finland","Europe",1957,67.49,4324000,7545.415386
"Finland","Europe",1962,68.75,4491443,9371.842561
"Finland","Europe",1967,69.83,4605744,10921.63626
"Finland","Europe",1972,70.87,4639657,14358.8759
"Finland","Europe",1977,72.52,4738902,15605.42283
"Finland","Europe",1982,74.55,4826933,18533.15761
"Finland","Europe",1987,74.83,4931729,21141.01223
"Finland","Europe",1992,75.7,5041039,20647.16499
"Finland","Europe",1997,77.13,5134406,23723.9502
"Finland","Europe",2002,78.37,5193039,28204.59057
"Finland","Europe",2007,79.313,5238460,33207.0844
"France","Europe",1952,67.41,42459667,7029.809327
"France","Europe",1957,68.93,44310863,8662.834898
"France","Europe",1962,70.51,47124000,10560.48553
"France","Europe",1967,71.55,49569000,12999.91766
"France","Europe",1972,72.38,51732000,16107.19171
"France","Europe",1977,73.83,53165019,18292.63514
"France","Europe",1982,74.89,54433565,20293.89746
"France","Europe",1987,76.34,55630100,22066.44214
"France","Europe",1992,77.46,57374179,24703.79615
"France","Europe",1997,78.64,58623428,25889.78487
"France","Europe",2002,79.59,59925035,28926.03234
"France","Europe",2007,80.657,61083916,30470.0167
"Germany","Europe",1952,67.5,69145952,7144.114393
"Germany","Europe",1957,69.1,71019069,10187.82665
"Germany","Europe",1962,70.3,73739117,12902.46291
"Germany","Europe",1967,70.8,76368453,14745.62561
"Germany","Europe",1972,71,78717088,18016.18027
"Germany","Europe",1977,72.5,78160773,20512.92123
"Germany","Europe",1982,73.8,78335266,22031.53274
"Germany","Europe",1987,74.847,77718298,24639.18566
"Germany","Europe",1992,76.07,80597764,26505.30317
"Germany","Europe",1997,77.34,82011073,27788.88416
"Germany","Europe",2002,78.67,82350671,30035.80198
"Germany","Europe",2007,79.406,82400996,32170.37442
"Greece","Europe",1952,65.86,7733250,3530.690067
"Greece","Europe",1957,67.86,8096218,4916.299889
"Greece","Europe",1962,69.51,8448233,6017.190733
"Greece","Europe",1967,71,8716441,8513.097016
"Greece","Europe",1972,72.34,8888628,12724.82957
"Greece","Europe",1977,73.68,9308479,14195.52428
"Greece","Europe",1982,75.24,9786480,15268.42089
"Greece","Europe",1987,76.67,9974490,16120.52839
"Greece","Europe",1992,77.03,10325429,17541.49634
"Greece","Europe",1997,77.869,10502372,18747.69814
"Greece","Europe",2002,78.256,10603863,22514.2548
"Greece","Europe",2007,79.483,10706290,27538.41188
"Guatemala","Americas",1952,42.023,3146381,2428.237769
"Guatemala","Americas",1957,44.142,3640876,2617.155967
"Guatemala","Americas",1962,46.954,4208858,2750.364446
"Guatemala","Americas",1967,50.016,4690773,3242.531147
"Guatemala","Americas",1972,53.738,5149581,4031.408271
"Guatemala","Americas",1977,56.029,5703430,4879.992748
"Guatemala","Americas",1982,58.137,6395630,4820.49479
"Guatemala","Americas",1987,60.782,7326406,4246.485974
"Guatemala","Americas",1992,63.373,8486949,4439.45084
"Guatemala","Americas",1997,66.322,9803875,4684.313807
"Guatemala","Americas",2002,68.978,11178650,4858.347495
"Guatemala","Americas",2007,70.259,12572928,5186.050003
"Haiti","Americas",1952,37.579,3201488,1840.366939
"Haiti","Americas",1957,40.696,3507701,1726.887882
"Haiti","Americas",1962,43.59,3880130,1796.589032
"Haiti","Americas",1967,46.243,4318137,1452.057666
"Haiti","Americas",1972,48.042,4698301,1654.456946
"Haiti","Americas",1977,49.923,4908554,1874.298931
"Haiti","Americas",1982,51.461,5198399,2011.159549
"Haiti","Americas",1987,53.636,5756203,1823.015995
"Haiti","Americas",1992,55.089,6326682,1456.309517
"Haiti","Americas",1997,56.671,6913545,1341.726931
"Haiti","Americas",2002,58.137,7607651,1270.364932
"Haiti","Americas",2007,60.916,8502814,1201.637154
"Honduras","Americas",1952,41.912,1517453,2194.926204
"Honduras","Americas",1957,44.665,1770390,2220.487682
"Honduras","Americas",1962,48.041,2090162,2291.156835
"Honduras","Americas",1967,50.924,2500689,2538.269358
"Honduras","Americas",1972,53.884,2965146,2529.842345
"Honduras","Americas",1977,57.402,3055235,3203.208066
"Honduras","Americas",1982,60.909,3669448,3121.760794
"Honduras","Americas",1987,64.492,4372203,3023.096699
"Honduras","Americas",1992,66.399,5077347,3081.694603
"Honduras","Americas",1997,67.659,5867957,3160.454906
"Honduras","Americas",2002,68.565,6677328,3099.72866
"Honduras","Americas",2007,70.198,7483763,3548.330846
"Hungary","Europe",1952,64.03,9504000,5263.673816
"Hungary","Europe",1957,66.41,9839000,6040.180011
"Hungary","Europe",1962,67.96,10063000,7550.359877
"Hungary","Europe",1967,69.5,10223422,9326.64467
"Hungary","Europe",1972,69.76,10394091,10168.65611
"Hungary","Europe",1977,69.95,10637171,11674.83737
"Hungary","Europe",1982,69.39,10705535,12545.99066
"Hungary","Europe",1987,69.58,10612740,12986.47998
"Hungary","Europe",1992,69.17,10348684,10535.62855
"Hungary","Europe",1997,71.04,10244684,11712.7768
"Hungary","Europe",2002,72.59,10083313,14843.93556
"Hungary","Europe",2007,73.338,9956108,18008.94444
"Iceland","Europe",1952,72.49,147962,7267.688428
"Iceland","Europe",1957,73.47,165110,9244.001412
"Iceland","Europe",1962,73.68,182053,10350.15906
"Iceland","Europe",1967,73.73,198676,13319.89568
"Iceland","Europe",1972,74.46,209275,15798.06362
"Iceland","Europe",1977,76.11,221823,19654.96247
"Iceland","Europe",1982,76.99,233997,23269.6075
"Iceland","Europe",1987,77.23,244676,26923.20628
"Iceland","Europe",1992,78.77,259012,25144.39201
"Iceland","Europe",1997,78.95,271192,28061.09966
"Iceland","Europe",2002,80.5,288030,31163.20196
"Iceland","Europe",2007,81.757,301931,36180.78919
"Ireland","Europe",1952,66.91,2952156,5210.280328
"Ireland","Europe",1957,68.9,2878220,5599.077872
"Ireland","Europe",1962,70.29,2830000,6631.597314
"Ireland","Europe",1967,71.08,2900100,7655.568963
"Ireland","Europe",1972,71.28,3024400,9530.772896
"Ireland","Europe",1977,72.03,3271900,11150.98113
"Ireland","Europe",1982,73.1,3480000,12618.32141
"Ireland","Europe",1987,74.36,3539900,13872.86652
"Ireland","Europe",1992,75.467,3557761,17558.81555
"Ireland","Europe",1997,76.122,3667233,24521.94713
"Ireland","Europe",2002,77.783,3879155,34077.04939
"Ireland","Europe",2007,78.885,4109086,40675.99635
"Italy","Europe",1952,65.94,47666000,4931.404155
"Italy","Europe",1957,67.81,49182000,6248.656232
"Italy","Europe",1962,69.24,50843200,8243.58234
"Italy","Europe",1967,71.06,52667100,10022.40131
"Italy","Europe",1972,72.19,54365564,12269.27378
"Italy","Europe",1977,73.48,56059245,14255.98475
"Italy","Europe",1982,74.98,56535636,16537.4835
"Italy","Europe",1987,76.42,56729703,19207.23482
"Italy","Europe",1992,77.44,56840847,22013.64486
"Italy","Europe",1997,78.82,57479469,24675.02446
"Italy","Europe",2002,80.24,57926999,27968.09817
"Italy","Europe",2007,80.546,58147733,28569.7197
"Jamaica","Americas",1952,58.53,1426095,2898.530881
"Jamaica","Americas",1957,62.61,1535090,4756.525781
"Jamaica","Americas",1962,65.61,1665128,5246.107524
"Jamaica","Americas",1967,67.51,1861096,6124.703451
"Jamaica","Americas",1972,69,1997616,7433.889293
"Jamaica","Americas",1977,70.11,2156814,6650.195573
"Jamaica","Americas",1982,71.21,2298309,6068.05135
"Jamaica","Americas",1987,71.77,2326606,6351.237495
"Jamaica","Americas",1992,71.766,2378618,7404.923685
"Jamaica","Americas",1997,72.262,2531311,7121.924704
"Jamaica","Americas",2002,72.047,2664659,6994.774861
"Jamaica","Americas",2007,72.567,2780132,7320.880262
"Mexico","Americas",1952,50.789,30144317,3478.125529
"Mexico","Americas",1957,55.19,35015548,4131.546641
"Mexico","Americas",1962,58.299,41121485,4581.609385
"Mexico","Americas",1967,60.11,47995559,5754.733883
"Mexico","Americas",1972,62.361,55984294,6809.40669
"Mexico","Americas",1977,65.032,63759976,7674.929108
"Mexico","Americas",1982,67.405,71640904,9611.147541
"Mexico","Americas",1987,69.498,80122492,8688.156003
"Mexico","Americas",1992,71.455,88111030,9472.384295
"Mexico","Americas",1997,73.67,95895146,9767.29753
"Mexico","Americas",2002,74.902,102479927,10742.44053
"Mexico","Americas",2007,76.195,108700891,11977.57496
"Montenegro","Europe",1952,59.164,413834,2647.585601
"Montenegro","Europe",1957,61.448,442829,3682.259903
"Montenegro","Europe",1962,63.728,474528,4649.593785
"Montenegro","Europe",1967,67.178,501035,5907.850937
"Montenegro","Europe",1972,70.636,527678,7778.414017
"Montenegro","Europe",1977,73.066,560073,9595.929905
"Montenegro","Europe",1982,74.101,562548,11222.58762
"Montenegro","Europe",1987,74.865,569473,11732.51017
"Montenegro","Europe",1992,75.435,621621,7003.339037
"Montenegro","Europe",1997,75.445,692651,6465.613349
"Montenegro","Europe",2002,73.981,720230,6557.194282
"Montenegro","Europe",2007,74.543,684736,9253.896111
"Netherlands","Europe",1952,72.13,10381988,8941.571858
"Netherlands","Europe",1957,72.99,11026383,11276.19344
"Netherlands","Europe",1962,73.23,11805689,12790.84956
"Netherlands","Europe",1967,73.82,12596822,15363.25136
"Netherlands","Europe",1972,73.75,13329874,18794.74567
"Netherlands","Europe",1977,75.24,13852989,21209.0592
"Netherlands","Europe",1982,76.05,14310401,21399.46046
"Netherlands","Europe",1987,76.83,14665278,23651.32361
"Netherlands","Europe",1992,77.42,15174244,26790.94961
"Netherlands","Europe",1997,78.03,15604464,30246.13063
"Netherlands","Europe",2002,78.53,16122830,33724.75778
"Netherlands","Europe",2007,79.762,16570613,36797.93332
"Nicaragua","Americas",1952,42.314,1165790,3112.363948
"Nicaragua","Americas",1957,45.432,1358828,3457.415947
"Nicaragua","Americas",1962,48.632,1590597,3634.364406
"Nicaragua","Americas",1967,51.884,1865490,4643.393534
"Nicaragua","Americas",1972,55.151,2182908,4688.593267
"Nicaragua","Americas",1977,57.47,2554598,5486.371089
"Nicaragua","Americas",1982,59.298,2979423,3470.338156
"Nicaragua","Americas",1987,62.008,3344353,2955.984375
"Nicaragua","Americas",1992,65.843,4017939,2170.151724
"Nicaragua","Americas",1997,68.426,4609572,2253.023004
"Nicaragua","Americas",2002,70.836,5146848,2474.548819
"Nicaragua","Americas",2007,72.899,5675356,2749.320965
"Norway","Europe",1952,72.67,3327728,10095.42172
"Norway","Europe",1957,73.44,3491938,11653.97304
"Norway","Europe",1962,73.47,3638919,13450.40151
"Norway","Europe",1967,74.08,3786019,16361.87647
"Norway","Europe",1972,74.34,3933004,18965.05551
"Norway","Europe",1977,75.37,4043205,23311.34939
"Norway","Europe",1982,75.97,4114787,26298.63531
"Norway","Europe",1987,75.89,4186147,31540.9748
"Norway","Europe",1992,77.32,4286357,33965.66115
"Norway","Europe",1997,78.32,4405672,41283.16433
"Norway","Europe",2002,79.05,4535591,44683.97525
"Norway","Europe",2007,80.196,4627926,49357.19017
"Panama","Americas",1952,55.191,940080,2480.380334
"Panama","Americas",1957,59.201,1063506,2961.800905
"Panama","Americas",1962,61.817,1215725,3536.540301
"Panama","Americas",1967,64.071,1405486,4421.009084
"Panama","Americas",1972,66.216,1616384,5364.249663
"Panama","Americas",1977,68.681,1839782,5351.912144
"Panama","Americas",1982,70.472,2036305,7009.601598
"Panama","Americas",1987,71.523,2253639,7034.779161
"Panama","Americas",1992,72.462,2484997,6618.74305
"Panama","Americas",1997,73.738,2734531,7113.692252
"Panama","Americas",2002,74.712,2990875,7356.031934
"Panama","Americas",2007,75.537,3242173,9809.185636
"Paraguay","Americas",1952,62.649,1555876,1952.308701
"Paraguay","Americas",1957,63.196,1770902,2046.154706
"Paraguay","Americas",1962,64.361,2009813,2148.027146
"Paraguay","Americas",1967,64.951,2287985,2299.376311
"Paraguay","Americas",1972,65.815,2614104,2523.337977
"Paraguay","Americas",1977,66.353,2984494,3248.373311
"Paraguay","Americas",1982,66.874,3366439,4258.503604
"Paraguay","Americas",1987,67.378,3886512,3998.875695
"Paraguay","Americas",1992,68.225,4483945,4196.411078
"Paraguay","Americas",1997,69.4,5154123,4247.400261
"Paraguay","Americas",2002,70.755,5884491,3783.674243
"Paraguay","Americas",2007,71.752,6667147,4172.838464
"Peru","Americas",1952,43.902,8025700,3758.523437
"Peru","Americas",1957,46.263,9146100,4245.256698
"Peru","Americas",1962,49.096,10516500,4957.037982
"Peru","Americas",1967,51.445,12132200,5788.09333
"Peru","Americas",1972,55.448,13954700,5937.827283
"Peru","Americas",1977,58.447,15990099,6281.290855
"Peru","Americas",1982,61.406,18125129,6434.501797
"Peru","Americas",1987,64.134,20195924,6360.943444
"Peru","Americas",1992,66.458,22430449,4446.380924
"Peru","Americas",1997,68.386,24748122,5838.347657
"Peru","Americas",2002,69.906,26769436,5909.020073
"Peru","Americas",2007,71.421,28674757,7408.905561
"Poland","Europe",1952,61.31,25730551,4029.329699
"Poland","Europe",1957,65.77,28235346,4734.253019
"Poland","Europe",1962,67.64,30329617,5338.752143
"Poland","Europe",1967,69.61,31785378,6557.152776
"Poland","Europe",1972,70.85,33039545,8006.506993
"Poland","Europe",1977,70.67,34621254,9508.141454
"Poland","Europe",1982,71.32,36227381,8451.531004
"Poland","Europe",1987,70.98,37740710,9082.351172
"Poland","Europe",1992,70.99,38370697,7738.881247
"Poland","Europe",1997,72.75,38654957,10159.58368
"Poland","Europe",2002,74.67,38625976,12002.23908
"Poland","Europe",2007,75.563,38518241,15389.92468
"Portugal","Europe",1952,59.82,8526050,3068.319867
"Portugal","Europe",1957,61.51,8817650,3774.571743
"Portugal","Europe",1962,64.39,9019800,4727.954889
"Portugal","Europe",1967,66.6,9103000,6361.517993
"Portugal","Europe",1972,69.26,8970450,9022.247417
"Portugal","Europe",1977,70.41,9662600,10172.48572
"Portugal","Europe",1982,72.77,9859650,11753.84291
"Portugal","Europe",1987,74.06,9915289,13039.30876
"Portugal","Europe",1992,74.86,9927680,16207.26663
"Portugal","Europe",1997,75.97,10156415,17641.03156
"Portugal","Europe",2002,77.29,10433867,19970.90787
"Portugal","Europe",2007,78.098,10642836,20509.64777
"Puerto Rico","Americas",1952,64.28,2227000,3081.959785
"Puerto Rico","Americas",1957,68.54,2260000,3907.156189
"Puerto Rico","Americas",1962,69.62,2448046,5108.34463
"Puerto Rico","Americas",1967,71.1,2648961,6929.277714
"Puerto Rico","Americas",1972,72.16,2847132,9123.041742
"Puerto Rico","Americas",1977,73.44,3080828,9770.524921
"Puerto Rico","Americas",1982,73.75,3279001,10330.98915
"Puerto Rico","Americas",1987,74.63,3444468,12281.34191
"Puerto Rico","Americas",1992,73.911,3585176,14641.58711
"Puerto Rico","Americas",1997,74.917,3759430,16999.4333
"Puerto Rico","Americas",2002,77.778,3859606,18855.60618
"Puerto Rico","Americas",2007,78.746,3942491,19328.70901
"Romania","Europe",1952,61.05,16630000,3144.613186
"Romania","Europe",1957,64.1,17829327,3943.370225
"Romania","Europe",1962,66.8,18680721,4734.997586
"Romania","Europe",1967,66.8,19284814,6470.866545
"Romania","Europe",1972,69.21,20662648,8011.414402
"Romania","Europe",1977,69.46,21658597,9356.39724
"Romania","Europe",1982,69.66,22356726,9605.314053
